[[(27, 0),(-636.0,1616.0),],
[(27, 0),(-636.0,1616.0),],
[(26, 0),(-668.0,1614.0),],
[(26, 0),(-668.0,1614.0),],
[(26, 0),(-653.0,1592.0),],
[(26, 0),(-653.0,1592.0),],
[(23, 0),(-759.0,1611.0),],
[(23, 0),(-759.0,1611.0),],
[(24, 0),(-746.0,1586.0),],
[(24, 0),(-746.0,1586.0),],
[(23, 0),(-777.0,1586.0),],
[(23, 0),(-777.0,1586.0),],
[(21, 1),(-833.0,1555.0),],
[(21, 1),(-833.0,1555.0),],
[(22, 2),(-810.0,1544.0),],
[(22, 2),(-810.0,1544.0),],
[(22, 2),(-810.0,1544.0),],
[(22, 2),(-810.0,1544.0),],
[(19, 1),(-916.0,1557.0),],
[(19, 1),(-916.0,1557.0),],
[(20, 2),(-897.0,1542.0),],
[(20, 2),(-897.0,1542.0),],
[(18, 1),(-944.0,1577.0),],
[(18, 1),(-944.0,1577.0),],
[(18, 0),(-960.0,1610.0),],
[(18, 0),(-960.0,1610.0),],
[(16, 0),(-1024.0,1603.0),],
[(16, 0),(-1024.0,1603.0),],
[(16, 0),(-1043.0,1616.0),],
[(16, 0),(-1043.0,1616.0),],
[(15, 0),(-1060.0,1592.0),],
[(15, 0),(-1060.0,1592.0),],
[(16, 1),(-1039.0,1573.0),],
[(16, 1),(-1039.0,1573.0),],
[(17, 1),(-976.0,1551.0),],
[(17, 1),(-976.0,1551.0),],
[(20, 2),(-900.0,1540.0),],
[(20, 2),(-900.0,1540.0),],
[(20, 2),(-871.0,1520.0),],
[(20, 2),(-871.0,1520.0),],
[(20, 3),(-875.0,1496.0),],
[(20, 3),(-875.0,1496.0),],
[(16, 5),(-1031.0,1440.0),],
[(16, 5),(-1031.0,1440.0),],
[(15, 4),(-1051.0,1457.0),],
[(15, 4),(-1051.0,1457.0),],
[(15, 5),(-1058.0,1425.0),],
[(15, 5),(-1058.0,1425.0),],
[(15, 5),(-1054.0,1438.0),],
[(15, 5),(-1054.0,1438.0),],
[(15, 5),(-1054.0,1439.0),],
[(15, 3),(-1078.0,1502.0),],
[(15, 3),(-1078.0,1502.0),],
[(13, 1),(-1140.0,1568.0),],
[(13, 1),(-1140.0,1568.0),],
[(13, 0),(-1151.0,1586.0),],
[(13, 0),(-1151.0,1586.0),],
[(12, 0),(-1162.0,1612.0),],
[(12, 0),(-1162.0,1612.0),],
[(10, 0),(-1246.0,1609.0),],
[(10, 0),(-1246.0,1609.0),],
[(10, 1),(-1243.0,1579.0),],
[(10, 1),(-1243.0,1579.0),],
[(10, 1),(-1227.0,1569.0),],
[(10, 1),(-1227.0,1569.0),],
[(11, 2),(-1192.0,1522.0),],
[(11, 2),(-1192.0,1522.0),],
[(12, 2),(-1173.0,1533.0),],
[(12, 2),(-1173.0,1533.0),],
[(12, 3),(-1179.0,1491.0),],
[(12, 3),(-1179.0,1491.0),],
[(12, 4),(-1154.0,1469.0),],
[(12, 4),(-1154.0,1469.0),],
[(12, 4),(-1169.0,1467.0),],
[(12, 4),(-1169.0,1467.0),],
[(13, 5),(-1135.0,1413.0),],
[(13, 5),(-1135.0,1413.0),],
[(13, 5),(-1134.0,1440.0),],
[(13, 5),(-1134.0,1440.0),],
[(8, 5),(-1332.0,1416.0),],
[(8, 5),(-1332.0,1416.0),],
[(8, 5),(-1332.0,1416.0),],
[(6, 6),(-1379.0,1404.0),],
[(6, 6),(-1379.0,1404.0),],
[(7, 6),(-1358.0,1388.0),],
[(7, 6),(-1358.0,1388.0),],
[(8, 6),(-1328.0,1384.0),],
[(8, 6),(-1328.0,1384.0),],
[(6, 7),(-1379.0,1364.0),],
[(6, 7),(-1379.0,1364.0),],
[(6, 7),(-1376.0,1337.0),],
[(6, 7),(-1376.0,1337.0),],
[(7, 9),(-1345.0,1284.0),],
[(7, 9),(-1345.0,1284.0),],
[(9, 7),(-1287.0,1336.0),],
[(9, 7),(-1287.0,1336.0),],
[(10, 5),(-1243.0,1439.0),],
[(10, 5),(-1243.0,1439.0),],
[(9, 4),(-1261.0,1448.0),],
[(9, 4),(-1261.0,1448.0),],
[(11, 6),(-1206.0,1392.0),],
[(11, 6),(-1206.0,1392.0),],
[(11, 7),(-1199.0,1356.0),],
[(11, 7),(-1199.0,1356.0),],
[(12, 8),(-1166.0,1304.0),],
[(12, 8),(-1166.0,1304.0),],
[(13, 9),(-1148.0,1278.0),],
[(13, 9),(-1148.0,1278.0),],
[(4, 0),(-1448.0,1617.0),],
[(4, 0),(-1448.0,1617.0),],
[(5, 0),(-1433.0,1599.0),],
[(5, 0),(-1433.0,1599.0),],
[(5, 1),(-1416.0,1578.0),],
[(5, 1),(-1416.0,1578.0),],
[(5, 1),(-1414.0,1571.0),],
[(5, 1),(-1414.0,1571.0),],
[(7, 0),(-1342.0,1608.0),],
[(7, 0),(-1342.0,1608.0),],
[(8, 2),(-1315.0,1548.0),],
[(8, 2),(-1315.0,1548.0),],
[(9, 2),(-1283.0,1524.0),],
[(9, 2),(-1283.0,1524.0),],
[(9, 3),(-1282.0,1495.0),],
[(9, 3),(-1282.0,1495.0),],
[(9, 4),(-1280.0,1466.0),],
[(9, 4),(-1280.0,1466.0),],
[(6, 1),(-1379.0,1554.0),],
[(6, 1),(-1379.0,1554.0),],
[(6, 2),(-1384.0,1522.0),],
[(6, 2),(-1384.0,1522.0),],
[(6, 3),(-1383.0,1494.0),],
[(6, 3),(-1383.0,1494.0),],
[(3, 2),(-1489.0,1522.0),],
[(3, 2),(-1489.0,1522.0),],
[(4, 3),(-1471.0,1497.0),],
[(4, 3),(-1471.0,1497.0),],
[(4, 4),(-1449.0,1475.0),],
[(4, 4),(-1449.0,1475.0),],
[(4, 4),(-1441.0,1449.0),],
[(4, 4),(-1441.0,1449.0),],
[(3, 3),(-1496.0,1494.0),],
[(3, 3),(-1496.0,1494.0),],
[(2, 4),(-1533.0,1445.0),],
[(2, 4),(-1533.0,1445.0),],
[(2, 0),(-1528.0,1607.0),],
[(2, 0),(-1528.0,1607.0),],
[(2, 1),(-1540.0,1573.0),],
[(2, 1),(-1540.0,1573.0),],
[(1, 1),(-1577.0,1549.0),],
[(1, 1),(-1577.0,1549.0),],
[(0, 1),(-1599.0,1551.0),],
[(0, 1),(-1599.0,1551.0),],
[(1, 2),(-1569.0,1516.0),],
[(1, 2),(-1569.0,1516.0),],
[(0, 3),(-1602.0,1500.0),],
[(0, 3),(-1602.0,1500.0),],
[(0, 2),(-1603.0,1516.0),],
[(0, 2),(-1603.0,1516.0),],
[(2, 5),(-1536.0,1418.0),],
[(2, 5),(-1536.0,1418.0),],
[(2, 6),(-1542.0,1395.0),],
[(2, 6),(-1542.0,1395.0),],
[(0, 6),(-1592.0,1388.0),],
[(0, 6),(-1592.0,1388.0),],
[(0, 6),(-1592.0,1388.0),],
[(1, 6),(-1555.0,1369.0),],
[(1, 6),(-1555.0,1369.0),],
[(0, 7),(-1594.0,1362.0),],
[(0, 7),(-1594.0,1362.0),],
[(0, 7),(-1593.0,1362.0),],
[(1, 7),(-1575.0,1334.0),],
[(1, 7),(-1575.0,1334.0),],
[(4, 7),(-1471.0,1333.0),],
[(4, 7),(-1471.0,1333.0),],
[(4, 8),(-1448.0,1301.0),],
[(4, 8),(-1448.0,1301.0),],
[(5, 9),(-1432.0,1269.0),],
[(5, 9),(-1432.0,1269.0),],
[(10, 9),(-1238.0,1266.0),],
[(10, 9),(-1238.0,1266.0),],
[(10, 10),(-1229.0,1246.0),],
[(10, 10),(-1229.0,1246.0),],
[(13, 10),(-1145.0,1253.0),],
[(13, 10),(-1145.0,1253.0),],
[(13, 10),(-1129.0,1245.0),],
[(13, 10),(-1129.0,1245.0),],
[(14, 8),(-1087.0,1329.0),],
[(14, 8),(-1087.0,1329.0),],
[(16, 9),(-1038.0,1286.0),],
[(16, 9),(-1038.0,1286.0),],
[(16, 10),(-1025.0,1256.0),],
[(16, 10),(-1025.0,1256.0),],
[(15, 10),(-1049.0,1253.0),],
[(15, 10),(-1049.0,1253.0),],
[(18, 6),(-942.0,1386.0),],
[(18, 6),(-942.0,1386.0),],
[(20, 6),(-867.0,1390.0),],
[(20, 6),(-867.0,1390.0),],
[(21, 10),(-857.0,1239.0),],
[(21, 10),(-857.0,1239.0),],
[(21, 10),(-844.0,1235.0),],
[(21, 10),(-844.0,1235.0),],
[(21, 10),(-836.0,1225.0),],
[(21, 10),(-836.0,1225.0),],
[(20, 11),(-868.0,1198.0),],
[(20, 11),(-868.0,1198.0),],
[(21, 9),(-848.0,1284.0),],
[(21, 9),(-848.0,1284.0),],
[(20, 7),(-894.0,1363.0),],
